,Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score,model,LR
268,ESN,discrete_postcasting,medium,1000,800,8,classification,,0.6266823529411765,esn_1k_medium,
269,ESN,discrete_postcasting,medium,1000,800,9,classification,,0.6390588235294118,esn_1k_medium,
270,ESN,continuous_postcasting,medium,1000,100,0,regression,,0.0699338174033932,esn_1k_medium,
271,ESN,continuous_postcasting,medium,1000,100,1,regression,,0.1002561962912787,esn_1k_medium,
272,ESN,continuous_postcasting,medium,1000,100,2,regression,,0.0443427372521803,esn_1k_medium,
273,ESN,continuous_postcasting,medium,1000,100,3,regression,,0.1195292565929626,esn_1k_medium,
274,ESN,continuous_postcasting,medium,1000,100,4,regression,,0.0883123058146238,esn_1k_medium,
275,ESN,continuous_postcasting,medium,1000,100,5,regression,,0.0713251023671804,esn_1k_medium,
276,ESN,continuous_postcasting,medium,1000,100,6,regression,,0.0526204114704155,esn_1k_medium,
277,ESN,continuous_postcasting,medium,1000,100,7,regression,,0.0490305706899356,esn_1k_medium,
278,ESN,continuous_postcasting,medium,1000,100,8,regression,,0.0613747305707682,esn_1k_medium,
279,ESN,continuous_postcasting,medium,1000,100,9,regression,,0.0874789798216148,esn_1k_medium,
280,ESN,discrete_pattern_completion,medium,1000,800,0,classification,,0.6555,esn_1k_medium,
281,ESN,discrete_pattern_completion,medium,1000,800,1,classification,,0.6000666666666667,esn_1k_medium,
282,ESN,discrete_pattern_completion,medium,1000,800,2,classification,,0.606,esn_1k_medium,
283,ESN,discrete_pattern_completion,medium,1000,800,3,classification,,0.5278,esn_1k_medium,
284,ESN,discrete_pattern_completion,medium,1000,800,4,classification,,0.4708333333333333,esn_1k_medium,
285,ESN,discrete_pattern_completion,medium,1000,800,5,classification,,0.6,esn_1k_medium,
286,ESN,discrete_pattern_completion,medium,1000,800,6,classification,,0.5095000000000001,esn_1k_medium,
287,ESN,discrete_pattern_completion,medium,1000,800,7,classification,,0.6145,esn_1k_medium,
288,ESN,discrete_pattern_completion,medium,1000,800,8,classification,,0.6212,esn_1k_medium,
289,ESN,discrete_pattern_completion,medium,1000,800,9,classification,,0.5377666666666667,esn_1k_medium,
290,ESN,continuous_pattern_completion,medium,1000,100,0,regression,,0.0776317762363828,esn_1k_medium,
291,ESN,continuous_pattern_completion,medium,1000,100,1,regression,,0.0783033593975373,esn_1k_medium,
